line,case_id,unit,sequence,angle_stratum,raw_status,evaluation_status,failure_reason,wall_time_seconds,native_track_count,W-MPJPE_mm,WA-MPJPE_mm,MPJPE_mm,PA-MPJPE_mm,MPVPE_mm,AdapterShared-W-MPJPE_mm,AdapterShared-WA-MPJPE_mm,ATE-Sim3_m,ATE-SE3_m,RPE-translation_m,RPE-rotation_deg,Camera-seam-translation_m,Camera-seam-rotation_deg,Human-seam_mm,IDF1,IDs,Coverage,Precision,W_available,WA_available,camera_reportable,evaluation,evaluation_bytes
75,egobody_recording_20220225_S27_S26_01_small_kinect_14_kinect_13_b02876,recording_20220225_S27_S26_01,,small,success,success,,505.40658354759216,3,2467.207156397839,400.4617548590108,100.64391464475935,56.34293710505179,122.32634164041731,2480.1344964101077,400.4617548590108,0.057999602896139424,0.10566466504044947,0.017908704335738285,0.22897288312195285,1.6484216369039877,16.59977876115059,1196.9394794813034,0.5134228187919463,1.0,0.5166666666666667,0.5236486486486487,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line075/onlinehmr.evaluation.json,21261
76,egobody_recording_20220225_S27_S26_02_extreme_kinect_15_kinect_14_b03911,recording_20220225_S27_S26_02,,extreme,success,success,,550.4567155838013,6,2064.4971920707535,942.4643812918749,175.52489971388428,98.16388600601464,218.76439679767893,2068.3965399050094,942.4643812918749,0.2362063585815145,0.8560591379320255,0.06549710055792421,1.3204992588733846,6.325903644848892,98.59064208214184,763.9416201094888,0.3125827814569536,51.0,0.7466666666666667,0.49230769230769234,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line076/onlinehmr.evaluation.json,21276
77,egobody_recording_20220225_S27_S26_02_medium_kinect_12_kinect_15_b03911,recording_20220225_S27_S26_02,,medium,success,success,,520.4436049461365,3,1441.9756881615167,982.3592636300671,173.58522909999922,90.88342238231391,216.40999514755603,1434.1112716043701,982.3592636300671,0.18071632389242884,0.5895435316153944,0.05864382652211943,0.6892384058781001,3.7234995619620608,47.84144480335764,,0.43097643097643096,49.0,0.7133333333333334,0.7278911564625851,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line077/onlinehmr.evaluation.json,20814
78,egobody_recording_20220225_S27_S26_02_small_kinect_14_kinect_13_b03911,recording_20220225_S27_S26_02,,small,success,success,,515.4227359294891,3,2308.590270899145,359.7061017085253,76.74336069269705,46.920861097356365,90.02623087522635,2308.266347140837,359.7061017085253,0.058155003265073786,0.11170631291974914,0.017709320177614292,0.22689305045069974,1.5175637821025305,16.630908397250327,1401.1899019423763,0.34563758389261745,0.0,0.3433333333333333,0.34797297297297297,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line078/onlinehmr.evaluation.json,21243
79,egobody_recording_20220225_S27_S26_03_extreme_kinect_14_kinect_15_b02455,recording_20220225_S27_S26_03,,extreme,success,success,,505.4106094837189,3,109.89705006984411,109.89705006984411,240.8454388627003,109.88333125214587,288.256418839129,109.9157990456396,109.89705006984411,0.2329703207027135,0.41731562022734314,0.06445059700798692,1.3181262722534217,5.670253336855642,98.37478749407087,,0.006734006734006734,0.0,0.006666666666666667,0.006802721088435374,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line079/onlinehmr.evaluation.json,20987
80,egobody_recording_20220225_S27_S26_03_medium_kinect_15_kinect_12_b02455,recording_20220225_S27_S26_03,,medium,success,success,,520.428591966629,3,,,,,,,,0.17477536315298497,0.3650103121758553,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line080/onlinehmr.evaluation.json,18325
81,egobody_recording_20220225_S27_S26_03_small_kinect_14_kinect_13_b02455,recording_20220225_S27_S26_03,,small,success,success,,510.4215395450592,3,109.89705006984411,109.89705006984411,240.8454388627003,109.88333125214587,288.256418839129,109.9157990456396,109.89705006984411,0.05608630251001755,0.081158061614523,0.01614448416187908,0.2268230055263187,1.3890097446655458,16.589203450402355,,0.006711409395973154,0.0,0.006666666666666667,0.006756756756756757,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line081/onlinehmr.evaluation.json,21001
82,egobody_recording_20220225_S27_S26_04_extreme_kinect_15_kinect_14_b03731,recording_20220225_S27_S26_04,,extreme,success,success,,510.4165987968445,3,,,,,,,,0.23410182276304553,0.8863858874931266,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line082/onlinehmr.evaluation.json,18627
83,egobody_recording_20220225_S27_S26_04_medium_kinect_15_kinect_12_b03731,recording_20220225_S27_S26_04,,medium,success,success,,510.41291785240173,3,,,,,,,,0.16533106981798545,0.3689843917028542,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line083/onlinehmr.evaluation.json,18325
84,egobody_recording_20220225_S27_S26_04_small_kinect_14_kinect_13_b03731,recording_20220225_S27_S26_04,,small,success,success,,515.4512848854065,3,122.54119293282614,122.54119293282614,248.0286966683251,122.53938691691752,283.6537749710041,122.68573340341422,122.54119293282614,0.05612799308382459,0.056874993166713544,0.016059990915542274,0.22651836035550355,1.4050987059653335,16.590452949707558,,0.006711409395973154,0.0,0.006666666666666667,0.006756756756756757,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line084/onlinehmr.evaluation.json,21016
85,egobody_recording_20220312_S29_S28_01_extreme_kinect_15_kinect_14_b03231,recording_20220312_S29_S28_01,,extreme,success,success,,530.4427959918976,5,1138.492750617541,952.6011346922982,132.06712762838362,67.9706514131396,170.6189636813259,1137.0734620916019,952.6011346922982,0.19820287073963502,0.3799714949692138,0.056286838613657665,1.2676232530600207,4.5915966383422715,94.20821362973389,,0.3368421052631579,20.0,0.7433333333333333,0.6109589041095891,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line085/onlinehmr.evaluation.json,21099
86,egobody_recording_20220312_S29_S28_01_medium_kinect_12_kinect_15_b03231,recording_20220312_S29_S28_01,,medium,success,success,,525.427282333374,4,770.3740246395465,802.3862633599641,120.04765224263063,67.04853965057397,154.9326775503731,771.3011299956021,802.3862633599641,0.12974048329898535,0.24401713280066248,0.039172013754351594,0.5556876327022865,2.9186476328123967,40.95248248650191,884.4108193424635,0.6056971514242878,27.0,0.98,0.8010899182561307,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line086/onlinehmr.evaluation.json,20888
87,egobody_recording_20220312_S29_S28_01_small_kinect_11_kinect_15_b03231,recording_20220312_S29_S28_01,,small,success,success,,505.4250204563141,3,434.19719709811494,350.6218115697251,53.7679877490344,32.8859249941388,64.37510112898684,434.217246241757,350.6218115697251,0.06415301496136427,0.11211869622764074,0.018867902127330582,0.2101910106168376,1.4695592408319305,15.379746690135473,,0.5531197301854974,3.0,0.5566666666666666,0.5699658703071673,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line087/onlinehmr.evaluation.json,21198
88,egobody_recording_20220312_S29_S28_02_extreme_kinect_14_kinect_15_b01761,recording_20220312_S29_S28_02,,extreme,success,success,,515.4164941310883,4,2010.9455046445717,889.0106407033826,118.76893095807561,36.53211542867771,152.74227478087536,2011.7744074048494,889.0106407033826,0.19708590720625396,0.43974856376362453,0.05626534718949918,1.2590162452929794,6.489160531786374,94.30973719238938,,0.46776611694152925,48.0,0.74,0.6049046321525886,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line088/onlinehmr.evaluation.json,21165
89,egobody_recording_20220312_S29_S28_02_medium_kinect_15_kinect_12_b01761,recording_20220312_S29_S28_02,,medium,success,success,,505.4097366333008,3,220.11453957062068,308.74844957664624,42.29888246362727,22.020709457569193,52.40274393668586,221.2467654880388,308.74844957664624,0.12919846340020932,0.17425282060371813,0.0398663202038424,0.5549222551508245,2.900347760388301,41.17327453696249,,0.27796610169491526,1.0,0.28,0.2896551724137931,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line089/onlinehmr.evaluation.json,20727
90,egobody_recording_20220312_S29_S28_02_small_kinect_11_kinect_15_b01761,recording_20220312_S29_S28_02,,small,success,success,,495.4072985649109,3,379.6617409965842,281.7994677975032,54.27897723248696,26.003625044228084,67.00109357410905,378.6039578295384,281.7994677975032,0.06382819406067289,0.12476505826508347,0.019378081799152996,0.210621687841331,1.4642015044199685,15.483060552577443,,0.48986486486486486,1.0,0.49,0.5034246575342466,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line090/onlinehmr.evaluation.json,21044
91,egobody_recording_20220312_S29_S28_03_extreme_kinect_15_kinect_14_b03281,recording_20220312_S29_S28_03,,extreme,success,success,,570.470517873764,4,1530.2565937162187,831.3008476555775,120.48717477579996,34.227941177172916,149.76054255089508,1527.9167653233724,831.3008476555775,0.19804563241482495,0.5261270997657037,0.05613937131954779,1.263604798425643,4.606838153903998,94.33843780384808,,0.3564954682779456,12.0,0.7266666666666667,0.6022099447513812,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line091/onlinehmr.evaluation.json,21091
92,egobody_recording_20220312_S29_S28_03_medium_kinect_15_kinect_12_b03281,recording_20220312_S29_S28_03,,medium,success,success,,550.4581303596497,4,790.7355825856322,390.9242955326257,61.491323726062745,29.40328891057654,75.08305351252109,790.4638418763979,390.9242955326257,0.13068122709959723,0.26730372640047617,0.038506050789895524,0.5572849180695968,2.964679205080134,41.218073163402636,,0.4856661045531197,1.0,0.4866666666666667,0.49829351535836175,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line092/onlinehmr.evaluation.json,20798
