split,case_id,frames,strict_human3r_forward_seconds,strict_human3r_forward_fps,causal_detector_seconds,causal_detector_fps,whole_multi_method_protocol_seconds,frozen_candidate_postprocess_seconds,frozen_candidate_postprocess_fps,process_peak_host_rss_gib,gpu,precision
development,egobody_recording_20210923_S13_S05_01_medium_kinect_11_kinect_12_b02401,150,42.51657319813967,3.528035980250716,17.37492122966796,8.63313266386915,376.5582749955356,0.12952150125056505,1158.1088742155512,12.924968719482422,NVIDIA L20,FP32
development,egobody_recording_20210923_S13_S05_01_small_kinect_13_kinect_12_b02401,150,42.13505968172103,3.5599807175560447,17.838700434193015,8.40868428467366,375.03710655588657,0.17028120066970587,880.8958323646938,12.869873046875,NVIDIA L20,FP32
development,egobody_recording_20210923_S14_S03_01_extreme_kinect_13_kinect_11_b02046,150,42.38544700201601,3.5389505268840376,20.535831884481013,7.304305997623375,349.6001653643325,0.15375410672277212,975.5836978745484,12.832157135009766,NVIDIA L20,FP32
development,egobody_recording_20210923_S14_S03_01_medium_kinect_12_kinect_11_b02046,150,42.85193579271436,3.5004252952675907,18.058399344794452,8.306384034155235,313.4907751912251,0.19446437247097492,771.3495181354542,12.9290771484375,NVIDIA L20,FP32
development,egobody_recording_20210923_S14_S03_01_small_kinect_12_kinect_13_b02046,150,42.891472747549415,3.4971986362620338,18.949147164821625,7.915923534462244,348.4672144157812,0.15339115634560585,977.8920999984821,12.875701904296875,NVIDIA L20,FP32
development,egobody_recording_20210923_S14_S03_02_extreme_kinect_11_kinect_13_b01601,150,43.068897223100066,3.482791751620408,17.452296030707657,8.594857647158406,391.4660501014441,0.1338077187538147,1121.0115634358626,12.869709014892578,NVIDIA L20,FP32
development,egobody_recording_20210923_S14_S03_02_medium_kinect_12_kinect_11_b01601,150,42.59785860031843,3.5213037680461876,17.024279596284032,8.810945517644177,394.0497143063694,0.1465673977509141,1023.4199576560641,12.85528564453125,NVIDIA L20,FP32
development,egobody_recording_20210923_S14_S03_02_small_kinect_13_kinect_12_b01601,150,42.46131281089038,3.532627468869223,21.335975993424654,7.030379113954158,372.1724436841905,0.1499968795105815,1000.0208036955748,12.899471282958984,NVIDIA L20,FP32
development,egobody_recording_20210923_S14_S03_03_extreme_kinect_13_kinect_11_b02456,150,45.171148585155606,3.320703694687406,22.583625624887645,6.6419804548432095,328.6986589208245,0.12833016272634268,1168.8600467207941,12.879505157470703,NVIDIA L20,FP32
development,egobody_recording_20210923_S14_S03_03_medium_kinect_12_kinect_11_b02456,150,44.231531041674316,3.3912459385290585,15.776899396441877,9.507571559582177,300.15183698385954,0.17870278842747211,839.3825374520031,12.88559341430664,NVIDIA L20,FP32
development,egobody_recording_20210923_S14_S03_03_small_kinect_13_kinect_12_b02456,150,42.05908092018217,3.566411740776344,17.684961516410112,8.48178266380806,304.3024972965941,0.1313374824821949,1142.0958980261794,12.91115951538086,NVIDIA L20,FP32
development,egobody_recording_20210929_S15_S11_01_extreme_kinect_11_kinect_13_b02726,150,42.24220054876059,3.5509513721202453,15.873770739883184,9.449550611381946,348.25506364461035,1.6560175977647305,90.57874759451103,12.938823699951172,NVIDIA L20,FP32
development,egobody_recording_20210929_S15_S11_01_medium_kinect_12_kinect_11_b02726,150,42.03825994860381,3.568178135426889,15.525910448282957,9.661269173209021,338.1229551034048,0.12497752346098423,1200.2158135804902,12.868621826171875,NVIDIA L20,FP32
development,egobody_recording_20210929_S15_S11_01_small_kinect_13_kinect_12_b02726,150,43.6851294497028,3.4336627106188073,16.43645211495459,9.126057068211427,341.3207127619535,0.1376335248351097,1089.850748062333,12.881546020507812,NVIDIA L20,FP32
development,egobody_recording_20210929_S15_S11_02_extreme_kinect_11_kinect_13_b04466,150,43.18219954147935,3.473653533000678,15.107040047645569,9.929145585562772,300.70633989945054,0.15367515292018652,976.0849242681719,12.911140441894531,NVIDIA L20,FP32
development,egobody_recording_20210929_S15_S11_02_medium_kinect_11_kinect_12_b04466,150,41.85261537972838,3.5840054113476887,17.038193196989596,8.803750389830235,310.0498637733981,0.26958767883479595,556.4052505972293,12.913360595703125,NVIDIA L20,FP32
development,egobody_recording_20210929_S15_S11_02_small_kinect_12_kinect_13_b04466,150,44.95011976547539,3.337032265600541,15.981578069739044,9.385806542097585,311.7645028773695,0.14945310167968273,1003.6593306808005,12.932945251464844,NVIDIA L20,FP32
development,egobody_recording_20210929_S15_S11_03_extreme_kinect_13_kinect_11_b01946,150,41.98073455877602,3.573067541016685,16.89440601784736,8.878678530724255,332.4319869270548,0.5437824092805386,275.8456276628372,12.908733367919922,NVIDIA L20,FP32
