angle_stratum,method,display_name,boundary_mode,case_count,W-MPJPE_mm,WA-MPJPE_mm,MPJPE_mm,PA-MPJPE_mm,MPVPE_mm,Accel_mm_frame2,RTE_H3R_percent,ATE_Sim3_m,ATE_SE3_m,Boundary_camera_t_m,Boundary_camera_R_deg,Boundary_root_m,Post_root_m,Seam_camera_t_m,Seam_camera_R_deg,IDF1,IDs,Coverage,Seam_root_m,CHRGE_m,Seam_CHRGE_m,Pair_vector_m,ROE_joint_proxy_deg,Jitter_H3R,Foot_sliding_cm,Detection_precision
medium,m3_b0_only,Bridge3R B0 (oracle cut),oracle_cut,43,286.9115352409235,227.0997125238818,72.12137079005342,44.05331479981652,80.78585654802806,29.149676977892536,67.50430650060855,0.017847682738168027,0.23374688558046552,0.6263349958881833,6.319199862159772,0.41508748146296304,0.42311222292029355,0.48391620243421685,1.6768370517101165,0.8453998424240013,0.6511627906976745,0.9771317829457364,0.38710216225636845,0.26698788305473126,0.24805477035611737,0.2124231297458786,10.66312103185643,143.92484326817976,2.2563270176515298,0.9991620067039464
medium,m15_v17_gated_parent,Bridge3R runtime parent (oracle cut),oracle_cut,43,283.35555479729214,224.99097688282203,72.12137105946535,44.053314747717984,80.78585681212853,28.473419581915348,67.13172719618603,0.020268418685669698,0.2616612773613481,0.6008679518859368,5.970560893462294,0.4049240728846391,0.41494912165927267,0.5403932537515669,2.5777613025909636,0.9813175861706821,0.06976744186046512,0.9771317829457364,0.38118198281399157,0.2675128121903244,0.2525452718072133,0.20327335822504783,10.639532418032205,140.49439053589634,2.223880660312332,0.9991620067039464
medium,v16_0_m15_geometry,Bridge3R geometry parent (causal detector),causal_detector,43,283.35555479729214,224.99097688282203,72.12137105946535,44.053314747717984,80.78585681212853,28.473419581915348,67.13172719618603,0.020268418685669698,0.2616612773613481,0.6008679518859368,5.970560893462294,0.4049240728846391,0.41494912165927267,0.5403932537515669,2.5777613025909636,0.9813175861706821,0.06976744186046512,0.9771317829457364,0.38118198281399157,0.2675128121903244,0.2525452718072133,0.20327335822504783,10.639532418032205,140.49439053589634,2.223880660312332,0.9991620067039464
medium,v19_ungated_translation_b050,"Bridge3R (causal, frozen)",causal_detector,43,220.81648681726378,171.15311439514605,72.12137140569058,44.053314515280654,80.78585735930199,27.420248250108724,45.299362993207296,0.016794248529944333,0.1692399467754635,0.562902886989245,6.31919987542874,0.27758474349126455,0.2900057587024161,0.40340220296221424,1.6768128221596565,0.9813175861706821,0.06976744186046512,0.9771317829457364,0.23660006319983037,0.2669878856751353,0.24805476742207513,0.21242312309251804,10.663121113370664,134.39431283973155,2.1617787134353854,0.9991620067039464
extreme,m0_strict_human3r,Strict Human3R,none,43,505.14874672212903,321.813633452833,70.1520314170024,44.160765504469566,78.57340889588177,47.91953560448051,190.2058809127728,0.2529359251503536,0.4375731293662013,1.3058303221899108,22.22810744042259,1.016264452351835,0.8531431969369191,1.3488162780796769,16.999187521742908,0.7579910408881559,0.9534883720930233,0.973953488372093,1.0045335399963025,0.32950551784285786,0.3174370215325536,0.4059747490754303,14.825751110938715,244.21128727420867,3.4947219282831004,0.9998454763192459
extreme,m0r_original_clean_reset,Original Human3R reset (oracle cut),oracle_cut,43,1013.926319643473,787.2483845388698,69.80087811592699,44.242159442631944,78.21488435080035,46.49764317394509,262.0383422776692,1.7559686363862346,2.4572932033838413,4.9566674839222795,94.43859410227243,1.8886974262663323,1.8842071534016882,4.960124312407629,94.36557000275961,0.7808223443969706,0.8604651162790697,0.973953488372093,1.8445517114741237,0.32301314719569907,0.32282691322249907,1.3655765451976707,53.75653319488267,242.84457729385593,3.086080003924681,0.9998454763192459
extreme,m1_current_clean_reset,Bridge3R clean reset (oracle cut),oracle_cut,43,1013.926319643473,787.2483845388698,69.80087811592699,44.242159442631944,78.21488435080035,46.49764317394509,262.0383422776692,1.7559686363862346,2.4572932033838413,4.9566674839222795,94.43859410227243,1.8886974262663323,1.8842071534016882,4.960124312407629,94.36557000275961,0.7808223443969706,0.8604651162790697,0.973953488372093,1.8445517114741237,0.32301314719569907,0.32282691322249907,1.3655765451976707,53.75653319488267,242.84457729385593,3.086080003924681,0.9998454763192459
extreme,m3_b0_only,Bridge3R B0 (oracle cut),oracle_cut,43,531.492717416414,381.20646238950684,69.8008786182565,44.242160603075476,78.21488452268217,34.82960017328597,172.79240903142545,0.01662260414517739,0.5010908711869376,1.1602271506154296,9.213117896134523,0.8930050767904156,0.9103837458847193,1.1249540601394725,4.180983856799205,0.7808223443969706,0.8604651162790697,0.973953488372093,0.8556128176448347,0.32301312082429645,0.3228268434856434,0.3276865799290762,11.971634842559421,176.2655539082285,2.5476064474141804,0.9998454763192459
extreme,m15_v17_gated_parent,Bridge3R runtime parent (oracle cut),oracle_cut,43,525.9367863257911,377.1896392458283,69.67085910502416,44.1458281980443,78.12563501728637,34.2328265693692,168.9923815581394,0.0203843255128023,0.5611198112977933,1.1978194791777301,9.056083709728396,0.8934362981889835,0.9007688485125042,1.2217886530328064,6.028873300429321,0.9781614775065913,0.023255813953488372,0.9689922480620156,0.8554699826125858,0.3357312584412637,0.36862420632786497,0.3156805070790955,12.108391177497387,173.21069292994326,2.5004916779463837,0.9948842360091685
extreme,v16_0_m15_geometry,Bridge3R geometry parent (causal detector),causal_detector,43,525.9367863257911,377.1896392458283,69.67085910502416,44.1458281980443,78.12563501728637,34.2328265693692,168.9923815581394,0.0203843255128023,0.5611198112977933,1.1978194791777301,9.056083709728396,0.8934362981889835,0.9007688485125042,1.2217886530328064,6.028873300429321,0.9781614775065913,0.023255813953488372,0.9689922480620156,0.8554699826125858,0.3357312584412637,0.36862420632786497,0.3156805070790955,12.108391177497387,173.21069292994326,2.5004916779463837,0.9948842360091685
extreme,v19_ungated_translation_b050,"Bridge3R (causal, frozen)",causal_detector,43,354.2771480751406,273.3173969497919,69.80087957959539,44.24216072867276,78.21488534648992,30.742528921728706,96.06169765559726,0.015606130058785217,0.36007443238413617,0.852575122792995,9.213117809980353,0.5405689772013474,0.5568445993326718,0.8289653788831797,4.180965393900799,0.9831227178166689,0.023255813953488372,0.973953488372093,0.4988350840392909,0.32301311129329335,0.3228268128905792,0.3276865669913399,11.971634804941772,152.96987072830566,2.3247223648615525,0.9998454763192459
