ATE_SE3_m,ATE_Sim3_m,Coverage,IDF1,MPJPE_mm,PA-MPJPE_mm,Precision,W-MPJPE_mm,WA-MPJPE_mm,angle_stratum,case_id,dataset,inference_status,method,seconds,time_access,unit
2.4921969053781305,0.14463086486218987,0.9966666666666667,0.7946666666666666,81.59741385125601,48.1414537043217,0.6644444444444444,1192.7187856165501,813.4820554103774,large,h4d_test_06_sword3_004_sword3_large_cam18_cam20_b00301,harmony4d,audited,JOSH,615.8024206859991,offline_full_sequence,004_sword3
0.15569392235480445,0.0917032324922399,1.0,0.8,79.19380194307314,44.94566410121149,0.6666666666666666,457.99577155060194,181.1480499446472,medium,h4d_test_06_sword3_004_sword3_medium_cam12_cam14_b00301,harmony4d,audited,JOSH,589.1648827900644,offline_full_sequence,004_sword3
0.03837239212829004,0.031941601891722265,0.9833333333333333,0.6570155902004454,77.70744074211575,46.757789241515816,0.49331103678929766,382.15307318551334,129.8798858346903,small,h4d_test_06_sword3_003_sword3_small_cam14_cam20_b00301,harmony4d,audited,JOSH,705.8277990159695,offline_full_sequence,003_sword3
3.2494627002556618,0.20229157199182254,0.9933333333333333,0.5199063231850117,85.41569837946767,51.018048956779346,0.5379061371841155,1255.7592333014074,536.524198442236,extreme,h4d_test_06_sword3_004_sword3_extreme_cam02_cam14_b00301,harmony4d,audited,JOSH,690.6308530350216,offline_full_sequence,004_sword3
3.5503694840040882,0.20131477004031073,1.0,0.7708333333333334,88.9041638638799,48.76531338122323,0.6410256410256411,1323.2011057795346,628.7821350391632,extreme,h4d_test_06_sword3_005_sword3_extreme_cam02_cam14_b00301,harmony4d,audited,JOSH,624.6855923800031,offline_full_sequence,005_sword3
2.4044692380378647,0.14334938897855806,1.0,0.8,80.16452151876798,46.014366600762465,0.6666666666666666,1028.6631534517535,563.4753544230402,large,h4d_test_06_sword3_005_sword3_large_cam18_cam20_b00301,harmony4d,audited,JOSH,599.8042735209456,offline_full_sequence,005_sword3
0.2879299206154855,0.09182098570555834,1.0,0.8,82.42768132711751,47.23832172016385,0.6666666666666666,411.93510960108824,281.3153806745689,medium,h4d_test_06_sword3_005_sword3_medium_cam12_cam14_b00301,harmony4d,audited,JOSH,598.5360896739876,offline_full_sequence,005_sword3
0.06379129504634454,0.031876694930222806,0.9933333333333333,0.6636971046770601,78.30977192512371,44.42277495156013,0.4983277591973244,556.5345885754691,151.6263403168126,small,h4d_test_06_sword3_004_sword3_small_cam14_cam20_b00301,harmony4d,audited,JOSH,873.4096764170099,offline_full_sequence,004_sword3
0.26579158652931806,0.025678241932959825,0.9666666666666667,0.8895705521472392,84.31471228569569,44.60705342163536,0.8238636363636364,293.94079949098943,199.14688582907544,small,h4d_test_06_sword3_005_sword3_small_cam10_cam13_b00301,harmony4d,audited,JOSH,565.0375102530234,offline_full_sequence,005_sword3
2.3027049012642475,0.14336276179682278,0.9566666666666667,0.7723577235772358,78.40394682717395,46.63176157673859,0.6552511415525114,1020.088214142808,531.5903210351106,large,h4d_test_06_sword3_006_sword3_large_cam18_cam20_b00256,harmony4d,audited,JOSH,628.0350353529793,offline_full_sequence,006_sword3
3.585284136662118,0.20246232233610775,0.99,0.5379975874547648,85.49716380609173,45.6480485629379,0.5614366729678639,1342.5720529245193,710.0912972591171,extreme,h4d_test_06_sword3_006_sword3_extreme_cam02_cam14_b00256,harmony4d,audited,JOSH,697.5081786260125,offline_full_sequence,006_sword3
0.09180817119210875,0.09174251701723883,0.9933333333333333,0.6858457997698504,84.65007026555955,54.5045700733187,0.523725834797891,336.7653123676051,250.5611593616369,medium,h4d_test_06_sword3_006_sword3_medium_cam12_cam14_b00256,harmony4d,audited,JOSH,695.1528133549727,offline_full_sequence,006_sword3
0.039757770914395696,0.025726161355164718,0.9766666666666667,0.830028328611898,79.74259420795744,45.118406426289454,0.7216748768472906,465.7354850970368,215.3742590783047,small,h4d_test_06_sword3_006_sword3_small_cam10_cam13_b00256,harmony4d,audited,JOSH,587.1812973310007,offline_full_sequence,006_sword3
5.05546548627548,0.28552595928438546,1.0,0.472,68.29105521729913,44.51031258517444,0.3157894736842105,1041.1601210527758,539.2152963418429,extreme,h4d_test_08_ballroom2_008_ballroom2_extreme_cam06_cam14_b00301,harmony4d,audited,JOSH,1031.5757510369876,offline_full_sequence,008_ballroom2
5.160134284417039,0.2858425909503423,1.0,0.41843971631205673,69.14580994831175,46.04650077245624,0.2702702702702703,907.101017841663,498.3358411974351,extreme,h4d_test_08_ballroom2_007_ballroom2_extreme_cam06_cam14_b00301,harmony4d,audited,JOSH,1151.629269674886,offline_full_sequence,007_ballroom2
0.10632591637093602,0.04253246953604073,0.8733333333333333,0.49952335557673977,78.27881231212639,54.108881644125134,0.34979973297730305,346.31810874776033,171.04011825631233,small,h4d_test_15_mma4_016_mma4_small_cam13_cam15_b00371,harmony4d,audited,JOSH,737.1489134719595,offline_full_sequence,016_mma4
4.989625629755853,0.2856418101151501,0.9733333333333334,0.38975050573162506,66.95374952087812,45.44083900912946,0.24683009298393913,701.7657684140177,432.75166551727006,extreme,h4d_test_08_ballroom2_010_ballroom2_extreme_cam06_cam14_b00162,harmony4d,audited,JOSH,1179.9069559639902,offline_full_sequence,010_ballroom2
4.7324071590169146,0.2853953599403505,0.9,0.3625254582484725,59.83746133575384,41.98241411875935,0.23017902813299232,1622.1620952677833,503.5078182264451,extreme,h4d_test_08_ballroom2_009_ballroom2_extreme_cam06_cam14_b00359,harmony4d,audited,JOSH,1391.6680851550773,offline_full_sequence,009_ballroom2
0.23505700315540135,0.23501783109889643,0.94,0.2938689217758985,89.93469405580149,59.30312394438528,0.1771356783919598,701.2705564516739,370.24848710404484,extreme,h4d_test_15_mma4_016_mma4_extreme_cam03_cam08_b00371,harmony4d,audited,JOSH,1412.727370490029,offline_full_sequence,016_mma4
0.4430852059435568,0.07679928487803457,0.9966666666666667,0.3152345809172377,67.88837708236348,46.905383314573925,0.18722604884157795,435.60255676151996,190.8152730156045,medium,h4d_test_15_mma4_016_mma4_medium_cam10_cam14_b00371,harmony4d,audited,JOSH,1363.845418404031,offline_full_sequence,016_mma4
2.5458732821994006,0.15579118394682137,0.9833333333333333,0.2753149790013999,77.05412425193578,49.62549855524396,0.16006511123168746,983.8000678736937,380.63870690331765,large,h4d_test_15_mma4_016_mma4_large_cam05_cam17_b00371,harmony4d,audited,JOSH,1571.8140020119608,offline_full_sequence,016_mma4
