ATE_SE3_m,ATE_SE3_m_case_support,ATE_SE3_m_unit_support,ATE_Sim3_m,ATE_Sim3_m_case_support,ATE_Sim3_m_unit_support,Coverage,Coverage_case_support,Coverage_unit_support,IDF1,IDF1_case_support,IDF1_unit_support,MPJPE_mm,MPJPE_mm_case_support,MPJPE_mm_unit_support,PA-MPJPE_mm,PA-MPJPE_mm_case_support,PA-MPJPE_mm_unit_support,Precision,Precision_case_support,Precision_unit_support,W-MPJPE_mm,W-MPJPE_mm_case_support,W-MPJPE_mm_unit_support,WA-MPJPE_mm,WA-MPJPE_mm_case_support,WA-MPJPE_mm_unit_support,aggregation,angle_stratum,camera_primary,dataset,method,seconds,seconds_case_support,seconds_unit_support,total_cases
0.21315675254929645,21,21,0.015251440646930134,21,21,0.9304761904761905,21,21,0.5891127964239001,21,21,100.36124285182,21,21,66.60820083193074,21,21,0.5086150715683684,21,21,568.556199916882,21,21,296.29311182186615,21,21,case_macro,medium,ATE_Sim3_m,harmony4d,Shot3R,,0,0,21
0.44598939883498523,21,21,0.08321207059574302,21,21,0.9731746031746031,21,21,0.5098343007986105,21,21,80.90069776639993,21,21,52.2052537780137,21,21,0.37036365887727185,21,21,559.3806531149232,21,21,296.8685603891222,21,21,case_macro,medium,ATE_Sim3_m,harmony4d,JOSH,938.8844425464105,21,21,21
0.2434410647876801,21,21,0.14349453311460478,21,21,0.9452380952380952,21,21,0.5105559256096232,21,21,96.94675955247678,21,21,65.19021533553301,21,21,0.5952393601245894,21,21,527.7907998831408,21,21,248.62580259662084,21,21,case_macro,large,ATE_Sim3_m,harmony4d,Human3R,,0,0,21
2.5561491810182675,21,21,1.9383824030762566,21,21,0.1742857142857143,21,21,0.06682470096457083,21,21,258.04291809972426,18,18,107.65729324469876,18,18,0.0790453660683787,21,21,816.5215433981746,5,5,377.32304322316554,5,5,case_macro,large,ATE_Sim3_m,harmony4d,OnlineHMR,,0,0,21
0.19676863189900284,21,21,0.021004387766075334,21,21,0.9452380952380952,21,21,0.6378887026630586,21,21,97.15084381341012,21,21,65.07877218504514,21,21,0.5952393601245894,21,21,565.201119892879,21,21,238.06472975463163,21,21,case_macro,large,ATE_Sim3_m,harmony4d,Shot3R,,0,0,21
2.005960359074473,21,21,0.24979555082016366,21,21,0.9322222222222222,21,21,0.6048375726376837,21,21,83.20487580354896,21,21,50.7881197120453,21,21,0.4979019412874037,21,21,847.9229222498936,21,21,432.5467663307779,21,21,case_macro,large,ATE_Sim3_m,harmony4d,JOSH,827.9140119517965,21,21,21
1.1144370480370722,25,25,0.24983555018994516,25,25,0.8658666666666667,25,25,0.41768735717534694,25,25,98.40827891834941,25,25,65.47632561407974,25,25,0.568433991033091,25,25,550.1859483558262,25,25,325.70182918885166,25,25,case_macro,extreme,ATE_Sim3_m,harmony4d,Human3R,,0,0,25
3.5167640077064446,25,25,2.0631734323154403,25,25,0.16240000000000002,25,25,0.06667358695064214,25,25,243.62535583153013,20,20,96.18601651639426,20,20,0.07670229091418981,25,25,1264.5515546877828,10,10,446.4585355468045,10,10,case_macro,extreme,ATE_Sim3_m,harmony4d,OnlineHMR,,0,0,25
0.3873602107041107,25,25,0.017113325019227188,25,25,0.8585333333333334,25,25,0.6222418775424421,25,25,96.80126169259971,25,25,65.41551069807431,25,25,0.562495079152531,25,25,552.5586685923463,25,25,260.65242859472664,25,25,case_macro,extreme,ATE_Sim3_m,harmony4d,Shot3R,,0,0,25
3.0942680299299967,25,25,0.20810567837044297,25,25,0.9818666666666667,25,25,0.4576846368731734,25,25,82.61530858127806,25,25,51.887121299391,25,25,0.3924977573910222,25,25,1179.60950933271,25,25,517.3040693567337,25,25,case_macro,extreme,ATE_Sim3_m,harmony4d,JOSH,945.8462756212778,25,25,25
