angle_stratum,scope,metric,estimate,ci95_low,ci95_high,available_clusters,total_clusters,bootstrap_samples,seed,availability_policy
medium,case-macro,Camera-seam-rotation_deg,45.11762561999133,44.412573648714,45.81303765703314,7,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,Human-seam_mm,861.073397438086,515.8431773250071,1206.303617551165,2,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,IDF1,0.05392610750150874,0.020627892557416188,0.09948655252722702,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,IDs,4.619047619047619,1.9523809523809523,7.809523809523809,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,Coverage,0.1331746031746032,0.05555555555555556,0.22699206349206338,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,Precision,0.04910101542335134,0.017613608061104034,0.09443374000071529,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,W-MPJPE_mm,405.428448204501,244.61102112216687,550.7256460951205,7,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,WA-MPJPE_mm,284.1987757383454,177.03077972274502,379.3575492830308,7,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,MPJPE_mm,215.04020177091678,153.51823851420167,279.71908169364474,14,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,PA-MPJPE_mm,92.52816096834644,74.54090688353838,111.36404372616109,14,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,MPVPE_mm,265.9288715243984,190.18658881790577,343.73633450227766,14,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,AdapterShared-W-MPJPE_mm,1227.2556948860456,903.2212375116027,1602.434529244733,7,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,AdapterShared-WA-MPJPE_mm,420.8263186386202,342.4414391581816,502.819140251426,14,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,ATE-Sim3_m,1.2287186933764709,1.089870726645776,1.3573653640566332,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,ATE-SE3_m,1.5219489533072537,1.4083329717891289,1.6115316038565322,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,RPE-translation_m,0.02189484279880794,0.01779319150203618,0.024692729439671282,7,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,RPE-rotation_deg,0.30760481229899017,0.30383560786773417,0.31151262527384055,7,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,Camera-seam-translation_m,2.94766246668355,2.317541217384856,3.3683680237975704,7,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,Camera-seam-rotation_deg,45.11762561999132,44.42939977504524,45.82379387889523,7,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,Human-seam_mm,861.073397438086,515.8431773250071,1206.303617551165,2,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,IDF1,0.053926107501508724,0.02105892821122446,0.10048892716445847,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,IDs,4.619047619047619,1.998809523809525,7.761904761904762,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,Coverage,0.1331746031746032,0.056825396825396834,0.2285753968253968,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,independent-unit-macro,Precision,0.049101015423351324,0.017880059128685195,0.09531910734919771,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,W-MPJPE_mm,369.8300267366706,270.4053719087145,464.9880113842296,8,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,WA-MPJPE_mm,216.93482712216192,173.44156415304926,264.60720127014235,8,21,10000,20260903,finite clusters only; no missing-geometry imputation
