dataset,angle_stratum,metric,estimate_bridge3r_benefit,ci95_low,ci95_high,onlinehmr_mean_on_shared_support,bridge3r_mean_on_shared_support,available_cases,available_units,conditional_on_onlinehmr_availability,direction,bootstrap_unit,point_aggregation,bootstrap_samples,seed
egohumans,medium,W-MPJPE_mm,915.6393799182937,339.59117029258124,1577.1853636557635,1693.9214203518945,778.2820404336009,11,11,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,medium,WA-MPJPE_mm,133.5650665226767,21.320130598166383,232.32804014801977,412.84059144395434,279.27552492127774,11,11,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,medium,ATE-SE3,2.5391916794073905,1.6556447995850536,3.4744056790862374,3.8402326960186843,1.3010410166112938,22,22,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,small,Coverage,0.4600379228809001,0.38429507595139595,0.5392841953544044,0.1965383890520439,0.656576311932944,24,24,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,small,IDF1,0.4471470022275879,0.3705825933377667,0.5236967580340401,0.14582554407201864,0.5929725462996066,24,24,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,small,W-MPJPE_mm,189.07348490657103,-118.0796723475127,472.6915904791971,1078.3418195529894,889.2683346464183,16,16,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,small,WA-MPJPE_mm,90.47211689670749,-50.69501037517993,225.98599878661523,442.75151011920497,352.27939322249745,16,16,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,small,ATE-SE3,1.0175469736550937,0.5211003501443897,1.518991527522332,1.6278843956846185,0.6103374220295246,24,24,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
harmony4d,all,Coverage,0.7539772727272727,0.6543919419822722,0.8348812613705275,0.15856060606060607,0.9125378787878787,88,25,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,all,IDF1,0.5681341633846588,0.49135106536032197,0.6399005998895846,0.06797072604731207,0.636104889431971,88,25,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,all,W-MPJPE_mm,340.8218068477869,165.93212422215134,509.2391273259712,750.8254205064526,410.00361365866553,30,14,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,all,WA-MPJPE_mm,133.97699873519198,78.51823625850032,190.34210337220114,335.8690206243196,201.89202188912753,30,14,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,all,ATE-Sim3,1.3475357858982904,1.226863442386648,1.462758490079183,1.3643359839415625,0.01680019804327222,88,25,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,extreme,Coverage,0.6961333333333333,0.5898633333333333,0.7916033333333332,0.16240000000000002,0.8585333333333333,25,25,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,extreme,IDF1,0.5555682905917999,0.4718512284728072,0.6370703657500393,0.06667358695064214,0.6222418775424421,25,25,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,extreme,W-MPJPE_mm,853.6579066449033,303.93614266235784,1517.7733067477204,1264.5515546877828,410.89364804287953,10,10,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,extreme,WA-MPJPE_mm,232.24573075387713,96.83684445169406,423.60336215011785,446.4585355468045,214.21280479292736,10,10,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,extreme,ATE-Sim3,2.046060107296213,1.6712102885508362,2.387095270821584,2.0631734323154403,0.01711332501922719,25,25,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,large,Coverage,0.7709523809523808,0.6536507936507936,0.8722301587301587,0.17428571428571427,0.9452380952380951,21,21,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,large,IDF1,0.5710640016984877,0.47474605698235406,0.6690574377176263,0.06682470096457083,0.6378887026630584,21,21,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,large,W-MPJPE_mm,283.22002188063414,-105.78191383870819,640.6686299849355,816.5215433981746,533.3015215175403,5,5,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,large,WA-MPJPE_mm,181.8260219287275,80.24757791647806,292.59367078055914,377.3230432231656,195.49702129443804,5,5,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,large,ATE-Sim3,1.9173780153101811,1.6880386915216155,2.152106147687543,1.9383824030762566,0.021004387766075334,21,21,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,medium,Coverage,0.7973015873015873,0.6895198412698412,0.887781746031746,0.1331746031746032,0.9304761904761906,21,21,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,medium,IDF1,0.5351866889223913,0.4502700497618322,0.6213333711605931,0.05392610750150874,0.5891127964239002,21,21,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,medium,W-MPJPE_mm,23.984280124498827,-154.93042726677876,187.60008854212575,405.4284482045011,381.44416808000227,7,7,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,medium,WA-MPJPE_mm,71.43472721322298,-15.491441592853992,148.10924206621567,284.1987757383454,212.7640485251224,7,7,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,medium,ATE-Sim3,1.2134672527295405,1.0713864675845057,1.3437618059843561,1.2287186933764709,0.015251440646930134,21,21,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,small,Coverage,0.7625396825396825,0.6379325396825397,0.8698412698412697,0.16365079365079366,0.9261904761904763,21,21,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,small,IDF1,0.6131111719055488,0.5250200074794129,0.6987536239692195,0.084705582886178,0.6978167547917268,21,21,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,small,W-MPJPE_mm,13.01063358873898,-85.93846185508072,109.57578836218991,369.8300267366706,356.81939314793163,8,8,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,small,WA-MPJPE_mm,35.9599317975988,-17.642409027244828,86.25495666098402,216.93482712216192,180.9748953245631,8,8,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
harmony4d,small,ATE-Sim3,0.08018551656238468,0.03922991913586972,0.13522969411405011,0.09395751206972568,0.013771995507341,21,21,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260905
