boundary_order,camera_relative_rotation_deg,camera_relative_translation_m,case_id,seam_orientation_excess_deg,seam_root_excess_mm,transition_angle_deg
3,35.6288646825574,3.1924247868969915,aist__gJB_sBM_cAll_d09_mJB4_ch01__mc150-4,,,44.778715753
1,89.76669318739071,6.584364404812849,aist__gJB_sBM_cAll_d09_mJB4_ch02__mc150-4,,,89.664662591
2,35.464221285587605,2.9195624180624766,aist__gJB_sBM_cAll_d09_mJB4_ch02__mc150-4,,,44.898103728
3,134.42929332068434,8.935528704443783,aist__gJB_sBM_cAll_d09_mJB4_ch02__mc150-4,,,135.470758724
1,89.75869891736149,6.596918375998735,aist__gJB_sBM_cAll_d09_mJB5_ch02__mc150-4,,,89.664662591
2,35.52532979324801,3.135310672671361,aist__gJB_sBM_cAll_d09_mJB5_ch02__mc150-4,5.783353166332206,260.12133422154955,44.898103728
3,135.38156329647106,9.164707536558488,aist__gJB_sBM_cAll_d09_mJB5_ch02__mc150-4,,,135.470758724
1,135.47584800811222,8.974966995642621,aist__gJB_sBM_cAll_d09_mJB5_ch03__mc150-4,84.70640059099246,253.03565922657418,135.470758724
2,44.90437064225361,3.6944809452196163,aist__gJB_sBM_cAll_d09_mJB5_ch03__mc150-4,14.404997933438047,108.61875338937011,44.898103728
3,89.61452645693807,6.664654171953249,aist__gJB_sBM_cAll_d09_mJB5_ch03__mc150-4,42.20425750481364,405.77692564928304,89.664662591
1,36.15149859160788,3.0313304299045924,aist__gJB_sBM_cAll_d09_mJB5_ch04__mc150-4,14.938370444906585,600.6181169577461,44.778715753
2,89.85023305502854,6.605943491791889,aist__gJB_sBM_cAll_d09_mJB5_ch04__mc150-4,37.35751827689949,1760.0421928624116,89.664662591
3,135.433872600358,8.844563563201412,aist__gJB_sBM_cAll_d09_mJB5_ch04__mc150-4,,,135.393325045
1,89.8649643732012,6.6100930988408795,aist__gJB_sBM_cAll_d09_mJB5_ch05__mc150-4,55.42310221693081,1289.1382665886597,89.664662591
2,35.56545550893458,2.9036760402900135,aist__gJB_sBM_cAll_d09_mJB5_ch05__mc150-4,26.421690100020257,427.04171223489965,44.898103728
3,135.4039334473226,9.02929424120373,aist__gJB_sBM_cAll_d09_mJB5_ch05__mc150-4,101.06798610238903,1496.9122962142064,135.470758724
1,89.73101091430587,6.653307945931446,aist__gJB_sBM_cAll_d09_mJB5_ch06__mc150-4,,,89.664662591
2,35.73636224994284,2.9912529670871617,aist__gJB_sBM_cAll_d09_mJB5_ch06__mc150-4,,,44.898103728
3,135.47472243732727,8.98226339318702,aist__gJB_sBM_cAll_d09_mJB5_ch06__mc150-4,136.8690860983492,1725.9390164344084,135.470758724
1,89.89787083137836,6.723914292127735,aist__gJB_sBM_cAll_d09_mJB5_ch08__mc150-4,,,89.664662591
2,35.58322015367261,3.3859194874089695,aist__gJB_sBM_cAll_d09_mJB5_ch08__mc150-4,16.69512871399837,493.8553974954988,44.898103728
3,135.47739706197447,8.983850842174801,aist__gJB_sBM_cAll_d09_mJB5_ch08__mc150-4,,,135.470758724
1,89.7661416679183,6.571351216067055,aist__gJB_sFM_cAll_d09_mJB5_ch20__mc150-4,43.977377046374244,1330.4029335401815,89.664662591
2,135.37593883346912,8.836610230445586,aist__gJB_sFM_cAll_d09_mJB5_ch20__mc150-4,70.00311387785241,357.1527616718535,135.393325045
3,36.94045704707966,3.138073630774324,aist__gJB_sFM_cAll_d09_mJB5_ch20__mc150-4,9.551958502088047,593.4816777949287,45.141505892
1,36.36799863575277,3.4943333070532234,aist__gJS_sBM_cAll_d03_mJS3_ch01__mc150-4,17.37980345696918,503.44160242245994,44.98137654
2,135.1253660773934,8.548241934908068,aist__gJS_sBM_cAll_d03_mJS3_ch01__mc150-4,53.4140421978353,183.97922015067795,135.095057265
3,90.94732929147291,6.134929347503559,aist__gJS_sBM_cAll_d03_mJS3_ch01__mc150-4,31.316715626827513,55.32017762566664,90.840513755
1,72.24699865329059,4.800636402603586,aist__gJS_sBM_cAll_d03_mJS3_ch02__mc150-4,3.7564103799980106,1150.7285573862807,90.840513755
2,135.13629362363034,8.538333063066181,aist__gJS_sBM_cAll_d03_mJS3_ch02__mc150-4,48.63022227589257,299.86516589394483,135.095057265
3,36.51890295598745,3.3854230497419158,aist__gJS_sBM_cAll_d03_mJS3_ch02__mc150-4,11.660624862283118,509.2857041324725,44.98137654
1,135.13737704198,8.528262035145875,aist__gJS_sBM_cAll_d03_mJS3_ch06__mc150-4,,,135.095057265
2,44.996830028883004,3.9439659042369373,aist__gJS_sBM_cAll_d03_mJS3_ch06__mc150-4,14.178753531635536,475.1048563507743,44.98137654
3,90.84497832450742,6.9101479910815184,aist__gJS_sBM_cAll_d03_mJS3_ch06__mc150-4,,,90.761448635
1,135.12699294603138,8.538871399052054,aist__gJS_sBM_cAll_d03_mJS3_ch07__mc150-4,44.832909647863254,431.26916859538454,135.095057265
2,44.99682788396973,3.9439659042369373,aist__gJS_sBM_cAll_d03_mJS3_ch07__mc150-4,16.712798367649015,269.3853708018858,44.98137654
3,90.84497832450744,6.9101479910815184,aist__gJS_sBM_cAll_d03_mJS3_ch07__mc150-4,48.5395217924837,314.13061966550987,90.761448635
1,90.38889422107914,6.949261756196603,aist__gJS_sBM_cAll_d03_mJS3_ch08__mc150-4,41.21471530296529,506.5349745392016,90.761448635
2,36.964244007513514,3.6136738545472142,aist__gJS_sBM_cAll_d03_mJS3_ch08__mc150-4,5.199905316705599,296.98040048636875,44.98137654
3,135.1246568682891,8.545201042456668,aist__gJS_sBM_cAll_d03_mJS3_ch08__mc150-4,42.95347722630654,529.7683073683233,135.095057265
1,36.61649105297009,3.399415298756583,aist__gJS_sBM_cAll_d03_mJS3_ch09__mc150-4,10.599812796731223,445.90646671188966,44.98137654
2,89.53431434568422,6.8473232628084295,aist__gJS_sBM_cAll_d03_mJS3_ch09__mc150-4,35.167110817827876,1457.5314736393543,89.213908902
3,135.2287600301936,8.146224235796613,aist__gJS_sBM_cAll_d03_mJS3_ch09__mc150-4,62.92653051687676,2128.40777290738,134.777285453
1,36.241855791906296,3.608227446883347,aist__gJS_sBM_cAll_d03_mJS4_ch01__mc150-4,14.811599939313357,603.4795360861274,44.98137654
2,135.1168776470077,8.52717227381339,aist__gJS_sBM_cAll_d03_mJS4_ch01__mc150-4,61.54386051211271,260.3467529037265,135.095057265
3,90.94733168370335,6.134929347503559,aist__gJS_sBM_cAll_d03_mJS4_ch01__mc150-4,30.20275282127313,140.88025006565408,90.840513755
1,36.4330458291989,3.480209419136178,aist__gJS_sBM_cAll_d03_mJS5_ch01__mc150-4,13.687617302343128,541.193234663451,44.98137654
