split,case_id,angle_stratum,method,is_final_method,gate_enabled,candidate_W-MPJPE_mm,parent_W-MPJPE_mm,candidate_to_parent_W_ratio,W_harm_percent
test,egobody_recording_20211004_S12_S20_01_extreme_kinect_11_kinect_13_b02556,extreme,v19_ungated_translation_b050,True,False,282.255603290498,281.64995722651577,1.0021503502785736,0.21503502785735762
development,egobody_recording_20210907_S02_S01_01_extreme_kinect_11_kinect_13_b02196,extreme,v16_0_m15_geometry,False,False,156.2723273990295,156.2723273990295,1.0,0.0
development,egobody_recording_20210907_S02_S01_01_medium_kinect_12_kinect_13_b02196,medium,v16_0_m15_geometry,False,False,235.32886150513232,235.32886150513232,1.0,0.0
development,egobody_recording_20210907_S02_S01_01_small_kinect_12_kinect_11_b02196,small,v16_0_m15_geometry,False,False,195.14157338466754,195.14157338466754,1.0,0.0
development,egobody_recording_20210907_S04_S03_01_extreme_kinect_11_kinect_13_b02471,extreme,v16_0_m15_geometry,False,False,193.0897833271875,193.0897833271875,1.0,0.0
development,egobody_recording_20210907_S04_S03_01_medium_kinect_12_kinect_13_b02471,medium,v16_0_m15_geometry,False,False,263.88695853357035,263.88695853357035,1.0,0.0
development,egobody_recording_20210907_S04_S03_01_small_kinect_12_kinect_11_b02471,small,v16_0_m15_geometry,False,False,189.39790874320786,189.39790874320786,1.0,0.0
development,egobody_recording_20210907_S04_S03_02_extreme_kinect_13_kinect_11_b02176,extreme,v16_0_m15_geometry,False,False,189.36089795963647,189.36089795963647,1.0,0.0
development,egobody_recording_20210907_S04_S03_02_medium_kinect_12_kinect_13_b02176,medium,v16_0_m15_geometry,False,False,244.2190977555432,244.2190977555432,1.0,0.0
development,egobody_recording_20210907_S04_S03_02_small_kinect_11_kinect_12_b02176,small,v16_0_m15_geometry,False,False,278.6490555405306,278.6490555405306,1.0,0.0
development,egobody_recording_20210910_S05_S06_01_extreme_kinect_11_kinect_13_b02971,extreme,v16_0_m15_geometry,False,False,433.8722701463643,433.8722701463643,1.0,0.0
development,egobody_recording_20210910_S05_S06_01_medium_kinect_12_kinect_11_b02971,medium,v16_0_m15_geometry,False,False,226.70557809768454,226.70557809768454,1.0,0.0
development,egobody_recording_20210910_S05_S06_01_small_kinect_12_kinect_13_b02971,small,v16_0_m15_geometry,False,False,247.29538237793173,247.29538237793173,1.0,0.0
development,egobody_recording_20210910_S06_S05_01_extreme_kinect_13_kinect_11_b01411,extreme,v16_0_m15_geometry,False,False,316.1027212156176,316.1027212156176,1.0,0.0
development,egobody_recording_20210910_S06_S05_01_medium_kinect_12_kinect_11_b01411,medium,v16_0_m15_geometry,False,False,178.0994264989627,178.0994264989627,1.0,0.0
development,egobody_recording_20210910_S06_S05_01_small_kinect_13_kinect_12_b01411,small,v16_0_m15_geometry,False,False,245.9642284024825,245.9642284024825,1.0,0.0
development,egobody_recording_20210910_S06_S05_02_extreme_kinect_11_kinect_13_b02726,extreme,v16_0_m15_geometry,False,False,307.62517909722976,307.62517909722976,1.0,0.0
