dataset,case_id,method,recording,capture,angle_stratum,angle_deg,person_count,status,w_mpjpe_mm,wa_mpjpe_mm,mpjpe_mm,mpvpe_mm,accel_mm_frame2,ate_sim3_m,ate_se3_m,ate_m,idf1,coverage,ids,boundary_camera_translation_m,boundary_camera_rotation_deg,fixed_root_m,post_root_m,seam_root_m,seam_camera_translation_m,seam_camera_rotation_deg,fit_runtime_seconds,world_alignment_available,metric_unavailability_reason
egohumans,ego_test_legoassemble_004_legoassemble_small_cam03_cam05_b00301,r0,,004_legoassemble,small,37.71896481875086,3,ok,598.3894001337808,364.86858409890345,109.43101212542516,131.33924392691063,66.27478674102699,0.86146548702838,1.0434768018573632,1.0434768018573632,0.5,1.0,3.0,2.0897246953648914,36.99707485486613,0.658456161416689,1.1827711282576467,1.0630577094843299,2.0897715280555924,36.99707642528841,0.0,True,
egohumans,ego_test_legoassemble_004_legoassemble_small_cam03_cam05_b00301,r1,,004_legoassemble,small,37.71896481875086,3,ok,457.7421606407173,322.68896225839086,109.43101248601667,131.3392442487886,60.95201506891379,0.026511941593468993,0.6939285506911425,0.6939285506911425,0.8333333333333334,1.0,1.0,1.7630448464089632,36.99707485486613,0.5038258261899489,0.8735104578041671,0.8102852927044824,1.7929299549056874,36.99707642528841,0.01271869894117117,True,
egohumans,ego_test_legoassemble_004_legoassemble_small_cam03_cam05_b00301,r2,,004_legoassemble,small,37.71896481875086,3,ok,177.29027877146956,155.63698747322022,109.43101462438734,131.33924669423098,52.04910843928806,0.008199478132800682,0.09856107750417738,0.09856107750417738,0.8333333333333334,1.0,1.0,0.3882124119249179,6.621117090773476,0.18808079226080646,0.242020389945882,0.28865317845976196,0.3938443903897517,6.621126811709081,0.15793068590573967,True,
egohumans,ego_test_legoassemble_004_legoassemble_small_cam03_cam05_b00301,r3,,004_legoassemble,small,37.71896481875086,3,ok,1463.4186957753138,428.9608185931102,109.43101113348033,131.33924147629432,102.88642547347973,0.005935158637173266,0.5354375980559314,0.5354375980559314,0.5,1.0,3.0,4.422878695961704,135.72250497370558,1.6054859069727156,3.0768306193697006,2.967069544525856,4.393125453431455,135.72250651100688,11.558673129882663,True,
egohumans,ego_test_tagging_002_tagging_extreme_cam06_cam05_b00111,r0,,002_tagging,extreme,168.44062341745672,4,ok,1959.624449329216,720.0817849724984,100.71443669216671,117.22289438423758,119.31035015271671,2.0348525118424785,4.183664423355003,4.183664423355003,0.5193370165745856,0.8783068783068783,8.0,8.582510761420124,167.91120392206577,2.484690509691994,3.348585566003912,2.806083777199815,8.582291649916977,167.9112114015804,0.0,True,
egohumans,ego_test_tagging_002_tagging_extreme_cam06_cam05_b00111,r1,,002_tagging,extreme,168.44062341745672,4,ok,1990.5025834338867,667.7063895493675,100.71443989731226,117.22289733886983,110.46820015849451,0.10709728288895361,3.260223701972127,3.260223701972127,0.5386740331491713,0.8783068783068783,7.0,10.136826268019915,167.91120392206577,2.680330022720059,3.6940766209258133,2.7314967881772905,10.14685285301897,167.9112114015804,0.009303895989432931,True,
egohumans,ego_test_tagging_002_tagging_extreme_cam06_cam05_b00111,r2,,002_tagging,extreme,168.44062341745672,4,ok,1590.6503620303295,455.30291649957456,100.71443790225328,117.22289574333008,106.5021431610986,0.030411211265137038,0.781168011396162,0.781168011396162,0.5386740331491713,0.8783068783068783,7.0,3.054311320382447,54.03522999859824,1.9913124829840962,2.4773009656474114,1.370787779614102,3.149346170811114,54.03523178198419,0.13737572310492396,True,
egohumans,ego_test_tagging_002_tagging_extreme_cam06_cam05_b00111,r3,,002_tagging,extreme,168.44062341745672,4,ok,1999.1754223625971,708.7792331685868,100.71444276264039,117.22289927155761,119.30595818362546,0.17739715445929477,3.641791704668461,3.641791704668461,0.5193370165745856,0.8783068783068783,8.0,9.013852583774174,174.6471896511226,2.5806318837795326,3.5180139500308405,2.901175742697829,9.079572776870505,174.64720577142504,37.56532884389162,True,
egohumans,ego_test_tagging_002_tagging_large_cam07_cam08_b00111,r0,,002_tagging,large,133.24529135600875,4,ok,2425.481241677077,623.2858769581105,105.45064287730648,122.18603764018039,101.01314805108508,1.6771490481852749,2.701728310320471,2.701728310320471,0.7602523659305994,0.7909604519774012,2.0,5.458025405574126,133.3171299125094,2.538117458945736,3.630491350922947,3.962755751347857,5.45193984927071,133.31712963507215,0.0,True,
egohumans,ego_test_tagging_002_tagging_large_cam07_cam08_b00111,r1,,002_tagging,large,133.24529135600875,4,ok,2296.2651390749197,642.4565922202011,105.45064502592871,122.18603956377586,85.22998506893981,0.039093886459552,1.4030640101643659,1.4030640101643659,0.6025236593059937,0.7909604519774012,3.0,8.236737242109795,133.3171299125094,2.6236804527568305,3.7579255970245766,1.6387342034664651,8.144312192559493,133.31712963507215,0.0037236360367387533,True,
egohumans,ego_test_tagging_002_tagging_large_cam07_cam08_b00111,r2,,002_tagging,large,133.24529135600875,4,ok,1647.8960002701824,688.4675796324998,105.4506489264338,122.18604190900811,86.25739884290905,0.03457312827383059,1.2305947789484488,1.2305947789484488,0.6025236593059937,0.7909604519774012,3.0,6.023677827346805,71.41241377233861,1.8091783286460157,2.5448373270722993,1.617307459988039,5.634893829602447,71.41241429305286,0.10000005201436579,True,
egohumans,ego_test_tagging_002_tagging_large_cam07_cam08_b00111,r3,,002_tagging,large,133.24529135600875,4,ok,5997.0834511769135,665.9179947868098,105.45063929720862,122.18603128727149,140.00037988947528,0.007310013546789978,4.331186873166076,4.331186873166076,0.7602523659305994,0.7909604519774012,2.0,12.93205979981639,154.75763429201444,6.428347863793627,9.424451528355977,9.398806037364123,13.510251456364513,154.7576372122549,49.96178243821487,True,
egohumans,ego_test_tagging_002_tagging_medium_cam02_cam04_b00111,r0,,002_tagging,medium,84.48502099585055,4,ok,1369.4955982949673,553.8996884839537,102.30264052682594,121.25475707661123,168.65622942627294,2.7657997629789555,3.168516167691456,3.168516167691456,0.4856396866840731,0.915,6.0,6.449311579191316,84.74502103126255,1.6338936401518236,3.041437095231067,3.0741232553117506,6.450282732566038,84.74502078748505,0.0,True,
egohumans,ego_test_tagging_002_tagging_medium_cam02_cam04_b00111,r1,,002_tagging,medium,84.48502099585055,4,ok,1355.5155003592506,537.2567992860241,102.302640954162,121.25475686126845,162.0537811780721,0.10173894833052724,2.6300307384783563,2.6300307384783563,0.6005221932114883,0.915,5.0,7.2880282284279145,84.74502103126255,1.6052295477842773,2.9847286746552735,2.6712344101429077,7.300431691863304,84.74502078748505,0.008132484974339604,True,
egohumans,ego_test_tagging_002_tagging_medium_cam02_cam04_b00111,r2,,002_tagging,medium,84.48502099585055,4,ok,254.85256477014917,174.50138839356623,102.30263956753305,121.25475482313091,116.2424274919916,0.019561119728324635,0.3350148861426367,0.3350148861426367,0.6005221932114883,0.915,5.0,0.7239819634941353,3.4269759292071416,0.24762263101700763,0.298868504185972,0.28629447286257437,0.8289582709810362,3.4269842302558313,0.09901848807930946,True,
egohumans,ego_test_tagging_002_tagging_medium_cam02_cam04_b00111,r3,,002_tagging,medium,84.48502099585055,4,icp_failed,1369.4955982949673,553.8996884839537,102.30264052682594,121.25475707661123,168.65622942627294,2.7657997629789555,3.168516167691456,3.168516167691456,0.4856396866840731,0.915,6.0,6.449311579191316,84.74502103126255,1.6338936401518236,3.041437095231067,3.0741232553117506,6.450282732566038,84.74502078748505,44.298272175947204,True,
egohumans,ego_test_tagging_002_tagging_small_cam02_cam06_b00111,r0,,002_tagging,small,42.21388742145035,4,ok,912.2824162018475,515.2639594501732,110.58958376888663,131.06583839095325,121.30002268187893,1.3024356474321253,2.0899865523733157,2.0899865523733157,0.9192886456908345,0.8618925831202046,2.0,4.338753509482241,41.94561826786929,1.1157138038876124,2.1836945014891374,1.9444650809703272,4.337318259188856,41.94561870404665,0.0,True,
egohumans,ego_test_tagging_002_tagging_small_cam02_cam06_b00111,r1,,002_tagging,small,42.21388742145035,4,ok,1659.2390107092233,610.3554365261072,110.5895832393421,131.0658371774023,132.81738980298024,0.08672785749384777,1.213971809159744,1.213971809159744,0.7852257181942545,0.8618925831202046,3.0,6.413687118994016,41.94561826786929,2.0346407231584833,4.168812269401211,4.158294764687428,6.402597487366891,41.94561870404665,0.006783497054129839,True,
egohumans,ego_test_tagging_002_tagging_small_cam02_cam06_b00111,r2,,002_tagging,small,42.21388742145035,4,ransac_failed,912.2824162018475,515.2639594501732,110.58958376888663,131.06583839095325,121.30002268187893,1.3024356474321253,2.0899865523733157,2.0899865523733157,0.9192886456908345,0.8618925831202046,2.0,4.338753509482241,41.94561826786929,1.1157138038876124,2.1836945014891374,1.9444650809703272,4.337318259188856,41.94561870404665,0.09396963682956994,True,
egohumans,ego_test_tagging_002_tagging_small_cam02_cam06_b00111,r3,,002_tagging,small,42.21388742145035,4,icp_failed,912.2824162018475,515.2639594501732,110.58958376888663,131.06583839095325,121.30002268187893,1.3024356474321253,2.0899865523733157,2.0899865523733157,0.9192886456908345,0.8618925831202046,2.0,4.338753509482241,41.94561826786929,1.1157138038876124,2.1836945014891374,1.9444650809703272,4.337318259188856,41.94561870404665,60.17724635382183,True,
egohumans,ego_test_tagging_003_tagging_extreme_cam05_cam06_b00156,r0,,003_tagging,extreme,168.44062341745672,4,ok,2477.57566398667,764.7466445288135,131.55777711416005,152.2791954140457,239.26157912266157,3.5195139880039075,4.2122405176724405,4.2122405176724405,0.6363636363636364,0.925,12.0,8.48413342803784,168.45413965717498,3.009030524356157,5.958306678818788,4.8927199564037185,8.483804246512067,168.4541419950781,0.0,True,
egohumans,ego_test_tagging_003_tagging_extreme_cam05_cam06_b00156,r1,,003_tagging,extreme,168.44062341745672,4,ok,1739.204047009973,775.9948794410332,131.5577781356752,152.2791968241653,224.94822063564493,0.060881136159216746,2.5326188046068396,2.5326188046068396,0.8155844155844156,0.925,10.0,5.855344462411054,168.45413965717498,2.193340851453737,4.253192673316554,4.054282739514387,5.886175917939961,168.4541419950781,0.011482465080916882,True,
egohumans,ego_test_tagging_003_tagging_extreme_cam05_cam06_b00156,r2,,003_tagging,extreme,168.44062341745672,4,ok,587.8741443044933,293.6601895732161,131.55778055893708,152.27919815948167,166.6779959663141,0.026170576799167188,0.29966855878779497,0.29966855878779497,0.8155844155844156,0.925,10.0,1.6426821034700125,13.77459878825906,0.45524731644719574,0.61988980352887,0.8052183438420669,1.4900318464596698,13.774605181925338,0.17037062416784465,True,
egohumans,ego_test_tagging_003_tagging_extreme_cam05_cam06_b00156,r3,,003_tagging,extreme,168.44062341745672,4,icp_failed,2477.57566398667,764.7466445288135,131.55777711416005,152.2791954140457,239.26157912266157,3.5195139880039075,4.2122405176724405,4.2122405176724405,0.6363636363636364,0.925,12.0,8.48413342803784,168.45413965717498,3.009030524356157,5.958306678818788,4.8927199564037185,8.483804246512067,168.4541419950781,41.3382447748445,True,
egohumans,ego_test_tagging_003_tagging_large_cam07_cam08_b00156,r0,,003_tagging,large,133.24529135600875,4,ok,1698.7116784499733,629.2998278603945,122.28370209354085,138.14021372478078,102.95331628862417,2.30840713797044,2.709117105643779,2.709117105643779,0.6553191489361702,0.8097686375321337,2.0,5.449279168858893,133.4193277664539,2.225144892288752,3.515029110280787,1.3820433904931655,5.446708235987315,133.419325808053,0.0,True,
egohumans,ego_test_tagging_003_tagging_large_cam07_cam08_b00156,r1,,003_tagging,large,133.24529135600875,4,ok,1392.607840564292,679.1635491152383,122.28370437373256,138.14021524178347,102.95383184691397,0.07841581008277215,1.5902480369277314,1.5902480369277314,0.49929078014184397,0.8097686375321337,2.0,7.822996883982578,133.4193277664539,2.130900008495137,3.357954303958095,1.1483831610469108,7.808936711431454,133.419325808053,0.0062350190710276365,True,
egohumans,ego_test_tagging_003_tagging_large_cam07_cam08_b00156,r2,,003_tagging,large,133.24529135600875,4,ok,1443.0535524881222,657.0006032577178,122.2837069530192,138.1402186275772,97.21375330427125,0.03925242702999108,0.4687610443390643,0.4687610443390643,0.49929078014184397,0.8097686375321337,2.0,6.677174276227872,135.37131537738864,2.0241799155954987,3.1800874824586964,0.13273683137334313,6.9901386751124575,135.37131332373394,0.129170784028247,True,
egohumans,ego_test_tagging_003_tagging_large_cam07_cam08_b00156,r3,,003_tagging,large,133.24529135600875,4,ok,1152.4686446599014,632.9701975808665,122.28371027255665,138.14022318164265,108.11958104033731,0.047591189948610044,0.8621830024546244,0.8621830024546244,0.6553191489361702,0.8097686375321337,2.0,7.051169309039,144.22364119641136,1.5751463444468492,2.4316981972109484,1.7594261233286939,7.292346595702017,144.22364378269336,38.49334269808605,True,
egohumans,ego_test_tagging_003_tagging_medium_cam04_cam02_b00156,r0,,003_tagging,medium,84.48502099585055,4,ok,2541.846644367502,690.3923746880806,121.84485293068771,140.46170326634547,183.0042676053996,3.1501536755954986,3.1733878525060737,3.1733878525060737,0.5618279569892473,0.85,12.0,6.393108886656254,83.7944785424817,2.128137508035635,3.326245849511944,1.7948104727072385,6.3974520308872,83.7944787513456,0.0,True,
egohumans,ego_test_tagging_003_tagging_medium_cam04_cam02_b00156,r1,,003_tagging,medium,84.48502099585055,4,ok,2222.205987111587,674.6205237622573,121.84485384392582,140.46170399850274,178.29879529121598,0.14537671983989348,2.395409948078388,2.395409948078388,0.696236559139785,0.85,11.0,6.59222915544259,83.7944785424817,1.7658706845084962,2.5797566373954157,1.4007225343697858,6.531629866567105,83.7944787513456,0.013273997930809855,True,
