dataset,case_id,method,angle_stratum,angle_deg,person_count,status,failure_reason,catastrophic_evaluation,scene_point_count_pre,scene_point_count_post,correspondence_count,inlier_ratio,fit_residual,global_fitness,global_residual,matched_person_count,runtime_seconds
egobody,egobody_recording_20211002_S17_S15_01_medium_kinect_12_kinect_13_b02701,r3,medium,45.59407765444697,2,ok,,True,4266,6332,2377,0.3753948199620973,0.1609988283110199,0.49226152874289325,0.2088886779000527,,0.8042955379996783
egobody,egobody_recording_20211002_S17_S15_01_small_kinect_12_kinect_11_b02701,r1,small,25.563800965418604,2,ok,,True,,,,,0.2216825783252716,,,2,0.002214144000390661
egobody,egobody_recording_20211002_S17_S15_01_small_kinect_12_kinect_11_b02701,r2,small,25.563800965418604,2,ok,,False,,,22,0.9090909090909091,0.05078075865790107,,,2,0.07760826800040377
egobody,egobody_recording_20211002_S17_S15_01_small_kinect_12_kinect_11_b02701,r3,small,25.563800965418604,2,ok,,True,4266,7614,3850,0.5056474914630943,0.1584620585862736,0.5612030470186499,0.20134786315196349,,0.9445828099997016
egobody,egobody_recording_20211002_S17_S15_02_extreme_kinect_13_kinect_11_b01321,r1,extreme,70.68115481500743,2,ok,,True,,,,,1.1390328407287598,,,2,0.0026964209992001997
egobody,egobody_recording_20211002_S17_S15_02_extreme_kinect_13_kinect_11_b01321,r2,extreme,70.68115481500743,2,ok,,False,,,22,1.0,0.10259010372294658,,,2,0.08360557800006063
egobody,egobody_recording_20211002_S17_S15_02_extreme_kinect_13_kinect_11_b01321,r3,extreme,70.68115481500743,2,ok,,True,8072,8258,3812,0.4616129813514168,0.15361809280966507,0.49394526519738435,0.19551173754272821,,1.8702723129999868
egobody,egobody_recording_20211002_S17_S15_02_medium_kinect_13_kinect_12_b01321,r1,medium,45.59407765444697,2,ok,,True,,,,,0.7809946537017822,,,2,0.0022394609995899373
egobody,egobody_recording_20211002_S17_S15_02_medium_kinect_13_kinect_12_b01321,r2,medium,45.59407765444697,2,ok,,False,,,22,1.0,0.06546462904846576,,,2,0.07568631300000561
egobody,egobody_recording_20211002_S17_S15_02_medium_kinect_13_kinect_12_b01321,r3,medium,45.59407765444697,2,ok,,True,8072,5443,3073,0.5645783575234246,0.1504126512524327,0.5397758589013412,0.19222451133158594,,1.095389167000576
egobody,egobody_recording_20211002_S17_S15_02_small_kinect_12_kinect_11_b01321,r1,small,25.563800965418604,2,ok,,True,,,,,0.4218938946723938,,,2,0.0030855439999868395
egobody,egobody_recording_20211002_S17_S15_02_small_kinect_12_kinect_11_b01321,r2,small,25.563800965418604,2,ok,,False,,,22,1.0,0.050661699015311895,,,2,0.08651174700025877
egobody,egobody_recording_20211002_S17_S15_02_small_kinect_12_kinect_11_b01321,r3,small,25.563800965418604,2,ok,,True,4801,8258,2902,0.3514168079438121,0.16479135537167122,0.3985226447081618,0.21146805784161865,,1.2576679169997078
egobody,egobody_recording_20211002_S17_S15_03_extreme_kinect_13_kinect_11_b02531,r1,extreme,70.68115481500743,2,ok,,True,,,,,1.0849429368972778,,,2,0.002193302000705444
egobody,egobody_recording_20211002_S17_S15_03_extreme_kinect_13_kinect_11_b02531,r2,extreme,70.68115481500743,2,ok,,False,,,22,1.0,0.14994209061501407,,,2,0.07250712099994416
egobody,egobody_recording_20211002_S17_S15_03_extreme_kinect_13_kinect_11_b02531,r3,extreme,70.68115481500743,2,ok,,True,6587,9114,4354,0.47772657450076805,0.15311498517418382,0.5527759490893132,0.19396141927890362,,1.6402316940002493
egobody,egobody_recording_20211002_S17_S15_03_medium_kinect_13_kinect_12_b02531,r1,medium,45.59407765444697,2,ok,,True,,,,,0.7457735538482666,,,2,0.0023077510004441137
egobody,egobody_recording_20211002_S17_S15_03_medium_kinect_13_kinect_12_b02531,r2,medium,45.59407765444697,2,ok,,False,,,22,1.0,0.13203028823801558,,,2,0.07229692599958071
egobody,egobody_recording_20211002_S17_S15_03_medium_kinect_13_kinect_12_b02531,r3,medium,45.59407765444697,2,ok,,True,6587,6423,3327,0.5179822512844465,0.1537561947632302,0.5790129223104469,0.19758946249421622,,0.9949820410001848
egobody,egobody_recording_20211002_S17_S15_03_small_kinect_11_kinect_12_b02531,r1,small,25.563800965418604,2,ok,,True,,,,,0.39745596051216125,,,2,0.0028005429994664155
egobody,egobody_recording_20211002_S17_S15_03_small_kinect_11_kinect_12_b02531,r2,small,25.563800965418604,2,ok,,False,,,22,1.0,0.04684746599568745,,,2,0.102672302999963
egobody,egobody_recording_20211002_S17_S15_03_small_kinect_11_kinect_12_b02531,r3,small,25.563800965418604,2,ok,,True,8457,6423,2993,0.46598162852249725,0.14899013193781524,0.49478436867507397,0.19786018173859155,,1.660119037000186
egobody,egobody_recording_20211004_S12_S20_01_extreme_kinect_11_kinect_13_b02556,r1,extreme,22.455810455946107,2,ok,,True,,,,,0.19929441809654236,,,2,0.0027973609994660364
egobody,egobody_recording_20211004_S12_S20_01_extreme_kinect_11_kinect_13_b02556,r2,extreme,22.455810455946107,2,ok,,False,,,22,0.9090909090909091,0.12871850252387673,,,2,0.08925615499993
egobody,egobody_recording_20211004_S12_S20_01_extreme_kinect_11_kinect_13_b02556,r3,extreme,22.455810455946107,2,ok,,True,1880,2189,1597,0.7295568752855185,0.14826247897208827,0.8387391502969392,0.1995493415812481,,0.2505549659999815
egobody,egobody_recording_20211004_S12_S20_01_medium_kinect_13_kinect_12_b02556,r1,medium,20.661167950912848,2,ok,,True,,,,,0.20047524571418762,,,2,0.002099690999784798
egobody,egobody_recording_20211004_S12_S20_01_medium_kinect_13_kinect_12_b02556,r2,medium,20.661167950912848,2,ok,,False,,,22,1.0,0.039634466203788285,,,2,0.07461301600051229
egobody,egobody_recording_20211004_S12_S20_01_medium_kinect_13_kinect_12_b02556,r3,medium,20.661167950912848,2,ok,,False,1941,2238,1834,0.8194816800714924,0.131499020723252,0.8865058087578195,0.1570950156833206,,0.15466109400040295
egobody,egobody_recording_20211004_S12_S20_01_small_kinect_11_kinect_12_b02556,r1,small,3.2418854744037855,2,ok,,False,,,,,0.19881446659564972,,,2,0.0023008099997241516
egobody,egobody_recording_20211004_S12_S20_01_small_kinect_11_kinect_12_b02556,r2,small,3.2418854744037855,2,ok,,False,,,22,0.9545454545454546,0.15466480500368893,,,2,0.0745461129999967
egobody,egobody_recording_20211004_S12_S20_01_small_kinect_11_kinect_12_b02556,r3,small,3.2418854744037855,2,ok,,False,1880,2238,1875,0.8378016085790885,0.14703605911561568,0.9128686327077749,0.18679272783218628,,0.19034232000012707
egobody,egobody_recording_20211004_S12_S20_02_extreme_kinect_13_kinect_11_b01776,r1,extreme,22.455810455946107,2,ok,,True,,,,,0.32855623960494995,,,2,0.00228757599961682
egobody,egobody_recording_20211004_S12_S20_02_extreme_kinect_13_kinect_11_b01776,r2,extreme,22.455810455946107,2,ok,,True,,,22,0.5,0.01620262700162209,,,2,0.07238369199967565
egobody,egobody_recording_20211004_S12_S20_02_extreme_kinect_13_kinect_11_b01776,r3,extreme,22.455810455946107,2,ok,,False,2241,2025,1221,0.6029629629629629,0.13669276023485974,0.6785185185185185,0.19527339127161045,,0.21123285299927375
egobody,egobody_recording_20211004_S12_S20_02_medium_kinect_13_kinect_12_b01776,r1,medium,20.661167950912848,2,ok,,True,,,,,0.18903326988220215,,,2,0.002253402999485843
egobody,egobody_recording_20211004_S12_S20_02_medium_kinect_13_kinect_12_b01776,r2,medium,20.661167950912848,2,ok,,True,,,22,0.9545454545454546,0.1351892794828949,,,2,0.0762215130007462
egobody,egobody_recording_20211004_S12_S20_02_medium_kinect_13_kinect_12_b01776,r3,medium,20.661167950912848,2,ok,,False,2241,2606,2131,0.8177283192632386,0.1328571181767824,0.8645433614735226,0.17618369037025292,,0.2620825440008048
egobody,egobody_recording_20211004_S12_S20_02_small_kinect_12_kinect_11_b01776,r1,small,3.2418854744037855,2,ok,,False,,,,,0.3555939197540283,,,2,0.0025073749993680394
egobody,egobody_recording_20211004_S12_S20_02_small_kinect_12_kinect_11_b01776,r2,small,3.2418854744037855,2,ok,,False,,,22,0.5,0.005355878531327144,,,2,0.07549291899977106
egobody,egobody_recording_20211004_S12_S20_02_small_kinect_12_kinect_11_b01776,r3,small,3.2418854744037855,2,ok,,False,2436,2025,1414,0.6982716049382716,0.13298806878033942,0.7703703703703704,0.18677414884140944,,0.2850931009998021
